ec5_uuid,created_at,uploaded_at,title,SITE,NEW_SITE,CSO,lat_LOC,long_LOC,accuracy_LOC,UTM_Northing_LOC,UTM_Easting_LOC,UTM_Zone_LOC,DATE,TIME,SAMPLER_ID,COND,TEMP,NITR,PHOS_METER,PHOS_HI,PHOS_LO,RIVER_HEIGHT,PHOTO_YN,PHOTO,COMMENTS
4514bb13-7f59-4bf3-ba57-9a266ad2c9e2,2026-03-02T21:43:04.000Z,2026-03-02T21:43:12.000Z,"Carrant Brook - Beckford - Crashmore Ln 02/03/2026 SA0106","Carrant Brook - Beckford - Crashmore Ln",,,,,,,,,02/03/2026,10:00,SA0106,632,10.1,"0, 5","Low range Hanna pocket checker (﹤2.5ppm)",,0.36,,No,,
2e2866dc-6eca-4d40-9579-0eb209af674b,2026-03-02T10:29:27.000Z,2026-03-02T10:30:07.000Z,"Stowe River - Southam - Welsh Rd E 01/03/2026 SA0096","Stowe River - Southam - Welsh Rd E",,,,,,,,,01/03/2026,10:35,SA0096,576,9,5,"Low range Hanna pocket checker (﹤2.5ppm)",,0.37,0.3,No,,"Ph  - 7.73.  Bluish test sample"
6b3fb22e-241c-4c62-97be-37c1b39a8b66,2026-03-02T10:22:49.000Z,2026-03-02T10:30:05.000Z,"Stowe River - Napton on the Hill - Sewage Works Footbridge 01/03/2026 SA0096","Stowe River - Napton on the Hill - Sewage Works Footbridge",,,,,,,,,01/03/2026,09:42,SA0096,548,10.5,1,"Low range Hanna pocket checker (﹤2.5ppm)",,0.27,0.14,No,,"Ph - 7.55.   4m of brown suds c.100m upstream of test site"
1a761e3c-26c8-4e90-bdbc-74b9ab49a5e5,2026-03-02T10:25:45.000Z,2026-03-02T10:30:03.000Z,"Stowe River - Napton on the Hill - Lower Fields Farm 01/03/2026 SA0096","Stowe River - Napton on the Hill - Lower Fields Farm",,,,,,,,,01/03/2026,10:10,SA0096,555,9.4,2,"Low range Hanna pocket checker (﹤2.5ppm)",,0.39,0.44,No,,"Ph - 7.54.  Some visible signs of brownish suds."
88577a90-1599-11f1-818a-8bffed144856,2026-03-01T18:07:38.000Z,2026-03-01T18:11:14.000Z,"Stour River - Shipston-on-Stour - Fell Mill Footbridge 01/03/2026 SA0099","Stour River - Shipston-on-Stour - Fell Mill Footbridge",,,,,,,,,01/03/2026,10:00,SA0099,508,8.8,5,"Low range Hanna pocket checker (﹤2.5ppm)",,0.65,2.1,No,,"Testing done by Mary Taylor"
e178aaf0-1598-11f1-818a-8bffed144856,2026-03-01T18:02:58.000Z,2026-03-01T18:07:35.000Z,"Stour River - Shipston-on-Stour - Fell Mill Footbridge 22/02/2026 SA0099","Stour River - Shipston-on-Stour - Fell Mill Footbridge",,,,,,,,,22/02/2026,15:35,SA0099,473,11.2,10,"Low range Hanna pocket checker (﹤2.5ppm)",,0.33,2.3,No,,
200d33c6-760b-4587-8bab-68f8e5dd9cc7,2026-03-01T15:35:47.000Z,2026-03-01T15:35:52.000Z,"Isbourne River - Winchcombe - C 01/03/2026 SA0114","Isbourne River - Winchcombe - C",,,,,,,,,01/03/2026,15:11,SA0114,454,11,5,"Low range Hanna pocket checker (﹤2.5ppm)",,0.14,0.4,No,,
26fdc3e6-65e1-44e8-b307-7a18d480b941,2026-03-01T13:41:20.000Z,2026-03-01T13:41:57.000Z,"Swilgate River - Tewkesbury - A38 26/03/2026 SA0001","Swilgate River - Tewkesbury - A38",,,,,,,,,26/03/2026,10:45,SA0001,370,10.9,5,"Low range Hanna pocket checker (﹤2.5ppm)",,0.51,1,No,,
c797ce65-13a6-4502-a936-2876af4bdc30,2026-03-01T09:44:47.000Z,2026-03-01T13:41:52.000Z,"Carrant Brook - Tewkesbury - M5 Bridge 01/03/2026 SA0001","Carrant Brook - Tewkesbury - M5 Bridge",,,,,,,,,01/03/2026,09:41,SA0001,296,9.5,5,"Low range Hanna pocket checker (﹤2.5ppm)",,0.46,1,No,,
33bab885-fb79-49f6-84b0-4f9cab6fb5fe,2026-03-01T09:27:30.000Z,2026-03-01T13:41:48.000Z,"Avon River - Tewkesbury - Black Bear Pub 01/03/2026 SA0001","Avon River - Tewkesbury - Black Bear Pub",,,,,,,,,01/03/2026,09:24,SA0001,215,10,2,"Low range Hanna pocket checker (﹤2.5ppm)",,0.85,2,No,,
1505431e-d722-4581-97b3-52206467cf1d,2026-03-01T11:24:52.000Z,2026-03-01T11:24:57.000Z,"Isbourne River - Winchcombe - B 01/03/2026 SA0015","Isbourne River - Winchcombe - B",,,,,,,,,01/03/2026,11:23,SA0015,444,11.1,5,"Low range Hanna pocket checker (﹤2.5ppm)",,0,1,No,,
70d4ef30-3fff-4527-80cf-703a5ba1d308,2026-02-28T20:12:12.000Z,2026-02-28T20:12:18.000Z,"Carrant Brook - Tewkesbury - Bredon Rd 28/02/2026 SA0009","Carrant Brook - Tewkesbury - Bredon Rd",,,,,,,,,28/02/2026,13:00,SA0009,540,10,5,"Low range Hanna pocket checker (﹤2.5ppm)",,0.38,1.1,No,,
d7d6ca77-00cd-4d12-8aac-e453a948dacf,2026-02-28T12:50:23.000Z,2026-02-28T12:50:31.000Z,"Avon River - Great Comberton - Quay Ln 28/02/2026 SA0001","Avon River - Great Comberton - Quay Ln",,,,,,,,,28/02/2026,12:10,SA0001,532,10.4,2,"Low range Hanna pocket checker (﹤2.5ppm)",,0.48,,No,,"Lot of scum and debris floating. River in flood and flowing fast."
24d35368-02f6-445d-b91b-f4cff5c62bba,2026-02-28T11:10:59.000Z,2026-02-28T11:11:11.000Z,"Piddle Brook - Wyre Piddle - Bridge 28/02/2026 SA0045","Piddle Brook - Wyre Piddle - Bridge",,,,,,,,,28/02/2026,11:09,SA0045,422,10.1,2,"Low range Hanna pocket checker (﹤2.5ppm)",,0.37,1.37,No,,"Brook in flood. Fast silty and scummy"
e131423f-eb58-44fb-bed8-a7fc0704d7ed,2026-02-28T11:09:07.000Z,2026-02-28T11:11:06.000Z,"Avon River - Wyre Piddle - Smiths Meadows 28/02/2026 SA0045","Avon River - Wyre Piddle - Smiths Meadows",,,,,,,,,28/02/2026,11:07,SA0045,511,10.5,2,"Low range Hanna pocket checker (﹤2.5ppm)",,0.53,2.28,No,,"River in flood. Tested at WatersideHouse a few hundred meters upstream. Fast silty debris. No scum"
54999570-13f6-11f1-b993-f339befbbaad,2026-02-27T16:06:52.000Z,2026-02-27T16:08:58.000Z,"Avon River - Luddington - Avonbank Dr 22/02/2026 I don't have an ID / can't remember it","Avon River - Luddington - Avonbank Dr",,,,,,,,,22/02/2026,17:40,"I don't have an ID / can't remember it",703,12.4,10,"Low range Hanna pocket checker (﹤2.5ppm)",,0.54,,No,,
88a27720-13f5-11f1-b993-f339befbbaad,2026-02-27T16:01:10.000Z,2026-02-27T16:06:48.000Z,"Avon River - Luddington - Pitch 16 22/02/2026 I don't have an ID / can't remember it","Avon River - Luddington - Pitch 16",,,,,,,,,22/02/2026,17:30,"I don't have an ID / can't remember it",638,12.3,10,"Low range Hanna pocket checker (﹤2.5ppm)",,0.32,,No,,
64b91cff-418e-43ef-b9b5-0e61418f1e14,2026-02-27T15:25:52.000Z,2026-02-27T15:25:56.000Z,"Stour River - Shipston-on-Stour - Mill Bridge 27/02/2026 SA0070","Stour River - Shipston-on-Stour - Mill Bridge",,,,,,,,,27/02/2026,15:15,SA0070,504,12.7,10,"Low range Hanna pocket checker (﹤2.5ppm)",,0.22,1.04,No,,
1d9d09e9-fd2e-4733-bfd3-14248ae6a246,2026-02-27T12:27:27.000Z,2026-02-27T12:27:33.000Z,"Carrant Brook - Aston on Carrant - Footbridge 27/02/2026 SA0143","Carrant Brook - Aston on Carrant - Footbridge",,,,,,,,,27/02/2026,12:25,SA0143,684,13,10,"Low range Hanna pocket checker (﹤2.5ppm)",,0.32,1.6,No,,
66b32ff0-221d-4d55-81c4-a26af11bbb2d,2026-02-26T17:01:35.000Z,2026-02-26T17:01:42.000Z,"Avon River - Barford - Verdon Place 26/02/2026 SA0142","Avon River - Barford - Verdon Place",,,,,,,,,26/02/2026,15:49,SA0142,350,11.5,5,"Low range Hanna pocket checker (﹤2.5ppm)",,0.45,1.37,No,,
a5fb4752-075b-4a0b-86da-9ea8b7b085bf,2026-02-26T16:59:09.000Z,2026-02-26T16:59:21.000Z,"Avon River - Barford - Barford Community Orchard 26/02/2026 SA0142","Avon River - Barford - Barford Community Orchard",,,,,,,,,26/02/2026,15:08,SA0142,348,12.1,5,"Low range Hanna pocket checker (﹤2.5ppm)",,0.21,1.37,No,,
5e1779fd-e453-4394-a204-ba4d9e1945d6,2026-02-26T16:55:18.000Z,2026-02-26T16:55:24.000Z,"Avon River - Warwick - Warwick Boat Club 26/02/2026 SA0142","Avon River - Warwick - Warwick Boat Club",,,,,,,,,26/02/2026,12:52,SA0142,351,11.5,5,"Low range Hanna pocket checker (﹤2.5ppm)",,0.51,1.37,No,,
